Henry Rollins|Scar tissue is stronger than regular tissue. Realize the strength, move on.
Will Self|A creative life cannot be sustained by approval any more than it can be destroyed by criticism.
Marilynne Robinson|There's so much to be grateful for, words are poor things.
Barbara Cameron|Worrying is arrogant because God knows what He's doing.
Lady Gaga|If you don't have any shadows you're not in the light
Michael J. Fox|My happiness grows in direct proportion to my acceptance, and in inverse proportion to my expectations.
Confucius|Never give a sword to a man who can't dance.
Confucius|Imagination is more important than knowledge.
Confucius|The man who says he CAN and the man who says he CANNOT are both correct.
Confucius|The man who asks a question is a fool for a minute. The man who does not ask is a fool for life.
Oscar Wilde|Be yourself; everyone else is already taken.
Oscar Wilde|The truth is rarely pure and never simple.
Sun Tzu|Appear weak when you are strong and strong when you are weak.
Sun Tzu|The supreme art of war is to subdue the enemy without fighting.
Sun Tzu|The greatest victory is that which requires no battle.
Winston Churchill|Success consists of going from failure to failure without loss of enthusiasm.
Winston Churchill|Success is not final. Failure is not fatal. It is the courage to continue that counts.